Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,300,250000,22,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,96,Y,Y
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,,0,210,430,300,250000,22,22,1,Y,N,N,N,N,N,N,N,S,Primary,72,N,N
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,199.9,16.67,,15,0,210,430,300,250000,22,22,3,Y,N,N,N,N,N,N,N,S,Primary,80,Y,Y
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,210,430,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,96,Y,Y
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,610,1280,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,77,N,N
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,420,,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,80,Y,Y
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,210,,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,85,Y,Y
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,180,,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,76,N,N
Fedorovich et. al. 2008,10.1089/ten.a.2007.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.9,16.67,,15,0,150,,300,250000,4,22,0.208,Y,N,N,N,N,N,N,N,S,Primary,79,N,N
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,,0,210,1052.1,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,98,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1103.09,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,73,N,N
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,917.23,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,92,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1132.66,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,80,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1015.34,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,98,Y,Y
