Final_Alginate_Conc_(%w/v),CaCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Extrusion_Pressure (kPa),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?_N,Cell_Culture_Medium_Used?_Y,DI_Water_Used?_N,DI_Water_Used?_Y,Precrosslinking_Solution_Used?_N,Precrosslinking_Solution_Used?_Y,Saline_Solution_Used?_N,Saline_Solution_Used?_Y,EtOH_Solution_Used?_N,EtOH_Solution_Used?_Y,Photoinitiator_Used?_N,Photoinitiator_Used?_Y,Enzymatic_Crosslinker_Used?_N,Enzymatic_Crosslinker_Used?_Y,Matrigel_Used?_N,Matrigel_Used?_Y,Conical_or_Straight_Nozzle_C,Conical_or_Straight_Nozzle_S,Primary/Not_Primary_Not_Primary,Primary/Not_Primary_Primary,Acceptable_Viability_(Yes/No)
0.1,0.11097547442015315,0.17166666666666666,0.6606779661016949,0.07234383342231714,0.12673115393913065,0.005016722408026756,0.45000000000000007,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
0.1,0.11097547442015315,0.17166666666666666,0.6606779661016949,0.07234383342231714,0.12673115393913065,0.005016722408026756,0.45000000000000007,0.5522388059701493,0.03333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,N
0.1,0.11097547442015315,0.17166666666666666,0.6606779661016949,0.07234383342231714,0.12673115393913065,0.005016722408026756,0.45000000000000007,0.5522388059701493,0.1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
0.0,0.0,0.0,0.6606779661016949,0.07234383342231714,0.12673115393913065,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
0.0,0.0,0.0,0.6606779661016949,0.3392952482648157,0.42452641794339085,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,N
0.0,0.0,0.0,0.6606779661016949,0.2124933262146289,0.13734595518122886,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
0.0,0.0,0.0,0.6606779661016949,0.07234383342231714,0.13726901889890494,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
0.0,0.0,0.0,0.6606779661016949,0.05232247730912973,0.13734595518122886,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,N
0.0,0.0,0.0,0.6606779661016949,0.032301121195942334,0.13734595518122886,0.005016722408026756,0.0,0.5522388059701493,0.006933333333333333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,N
0.15000000000000002,0.11097547442015315,0.04,0.01694915254237288,0.07234383342231714,0.3446822524533074,0.030100334448160532,0.55,0.5522388059701493,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Y
